state,year,beercons,beertax,cigtax
13,2006,1.178856,.3450397,55.50001
13,2007,1.220692,.3354844,55.50001
14,1981,1.573243,.4733773,13
14,1982,1.526595,.4459068,18
14,1983,1.521717,.4320281,18
14,1984,1.505929,.4141482,18
14,1985,1.444923,.3999071,18
14,1986,1.46294,.3926095,23.98356
14,1987,1.442823,.4227993,26
14,1988,1.421236,.4060017,28.67397
14,1989,1.401012,.3873387,31.24658
14,1990,1.441936,.3674828,31
14,1991,1.426794,.5657856,35.58904
14,1992,1.415172,.5492516,36
14,1993,1.393709,.5332872,36
14,1994,1.413348,.519973,36
14,1995,1.377297,.5056431,36
14,1996,1.40511,.4911409,36
14,1997,1.412167,.4801246,36
14,1998,1.440736,.4727608,36
14,1999,1.471349,.462545,36
14,2000,1.460092,.4475029,36
14,2001,1.460046,.4341409,36
14,2002,1.477869,.4259813,36
14,2003,1.468876,.4188043,36
14,2004,1.46569,.4079407,36
14,2005,1.461831,.3945725,36
14,2006,1.484786,.3822421,36
14,2007,1.503099,.3716565,136
15,1981,1.337603,.5173817,11
15,1982,1.322071,.4873575,11
15,1983,1.294163,.4721888,11
15,1984,1.279041,.4526468,16
15,1985,1.271665,.4370818,16
15,1986,1.230039,.4291059,21.98356
15,1987,1.228103,.4139965,24
15,1988,1.213639,.3975486,24
15,1989,1.210336,.3792742,24
15,1990,1.208223,.3598317,24
15,1991,1.232383,.5584435,24
15,1992,1.178213,.542124,24
15,1993,1.182295,.5263668,24
15,1994,1.214911,.5132254,24
15,1995,1.141361,.4990814,24
15,1996,1.146443,.4847674,24
15,1997,1.193354,.4738941,24
15,1998,1.192139,.4666258,24
15,1999,1.241169,.4565426,24
15,2000,1.245125,.4416957,24
15,2001,1.21019,.4285071,24
15,2002,1.287581,.4204533,24
15,2003,1.241915,.4133696,74.46303
15,2004,1.219779,.4026469,78.99999
15,2005,1.216453,.3894522,78.99999
15,2006,1.232606,.3772817,78.99999
15,2007,1.255588,.3668335,78.99999
16,1981,1.240097,.4080308,3
16,1982,1.246787,.3843523,3
16,1983,1.236233,.3723896,3
16,1984,1.156975,.3569779,3
16,1985,1.176463,.3447026,3
16,1986,1.202052,.3384124,3
16,1987,1.13155,.3264965,3
16,1988,1.188447,.3135249,3
16,1989,1.181343,.2991129,3
16,1990,1.207008,.2837797,3
16,1991,1.195883,.4854626,3
16,1992,1.121864,.4712759,3
16,1993,1.16566,.4575779,3
16,1994,1.168427,.4461538,3
16,1995,1.150792,.4338583,3
16,1996,1.144835,.4214149,3
16,1997,1.157364,.4104206,3
16,1998,1.159699,.4041258,3
16,1999,1.16082,.3953932,3
16,2000,1.149583,.3825349,3
16,2001,1.117363,.3711127,3
16,2002,1.155653,.3641377,3
16,2003,1.097985,.3580028,3
16,2004,1.141915,.3487163,3
16,2005,1.112383,.3372888,5.219178
16,2006,1.10875,.3267485,30
16,2007,1.114594,.3176997,30
17,1981,1.364774,.5943894,16
17,1982,1.423816,.5598963,16
17,1983,1.440993,.5424699,16
17,1984,1.360288,.5200192,19.07945
17,1985,1.404588,.5021376,24.31781
17,1986,1.399365,.4929745,28
17,1987,1.374467,.4756162,28
17,1988,1.386607,.4567202,28
17,1989,1.355238,.4357258,28
17,1990,1.294975,.4133895,30.24384
17,1991,1.269253,.6098385,31.99179
17,1992,1.247452,.5920171,37
17,1993,1.230942,.5748097,37
17,1994,1.215777,.5604588,37
17,1995,1.260518,.5450132,37
17,1996,1.262085,.5293818,37
17,1997,1.238142,.5175078,37
17,1998,1.22704,.5095706,58.49042
17,1999,1.250778,.4985594,74.00001
17,2000,1.26004,.4823461,74.00001
17,2001,1.283452,.4679437,74.00001
17,2002,1.312113,.4591488,91.23836
17,2003,1.32671,.451413,100
17,2004,1.330275,.4397036,100
17,2005,1.327474,.4252944,100
17,2006,1.346269,.412004,200
17,2007,1.355699,.4005942,200
18,1981,1.576577,.4365236,21
18,1982,1.474149,.4111917,21
18,1983,1.471121,.3983936,25.86301
18,1984,1.389896,.3819057,26
18,1985,1.384136,.3687733,26
18,1986,1.394148,.3620438,26
18,1987,1.364204,.3492958,26
18,1988,1.355489,.3354184,26
18,1989,1.318421,.32,26
18,1990,1.289542,.303596,26
18,1991,1.261799,.5044788,26
18,1992,1.196037,.4897363,26
18,1993,1.218362,.4755017,38.39726
18,1994,1.220391,.4636302,51
18,1995,1.211444,.450853,51
18,1996,1.230954,.4379223,51
18,1997,1.227829,.4259969,69.69863
18,1998,1.242574,.4194632,76
18,1999,1.192789,.4103992,76
18,2000,1.239652,.3970529,76
18,2001,1.197232,.3851972,76
18,2002,1.204445,.3779575,76
18,2003,1.175126,.3715897,146.0685
18,2004,1.178035,.3619508,151
18,2005,1.139741,.3500896,151
18,2006,1.166912,.3391493,151
18,2007,1.076697,.3297571,151
19,1981,1.477293,.5429043,11
19,1982,1.486215,.511399,12.67123
19,1983,1.489379,.4954819,21
19,1984,1.449439,.4749759,21
19,1985,1.432384,.4586431,21
19,1986,1.45389,.4502738,21
19,1987,1.439828,.434419,21
19,1988,1.428642,.4171597,22.98356
19,1989,1.39512,.3979838,25
19,1990,1.433625,.3775823,25
19,1991,1.398008,.5754772,25
19,1992,1.350608,.55866,25
19,1993,1.349822,.5424222,25
19,1994,1.320198,.5288799,33.35616
19,1995,1.296925,.5143045,75.00001
19,1996,1.294088,.4995539,75.00001
19,1997,1.260249,.4844081,75.00001
19,1998,1.292173,.4769785,75.00001
19,1999,1.283372,.4666717,75.00001
19,2000,1.281113,.4514954,75.00001
19,2001,1.27854,.4380141,75.00001
19,2002,1.254915,.4297817,75.00001
19,2003,1.258808,.4225408,120.7534
19,2004,1.237469,.4115802,125
19,2005,1.235085,.3980927,200
19,2006,1.213953,.3856523,200
19,2007,1.200028,.3749723,200
20,1981,1.525835,.4612761,18
20,1982,1.489962,.4345078,18
20,1983,1.49676,.4209839,18
20,1984,1.45582,.4035611,18
20,1985,1.419222,.389684,18
20,1986,1.417814,.382573,23
20,1987,1.427399,.3691021,25.80095
20,1988,1.405568,.3708368,38
20,1989,1.385195,.3537903,38
20,1990,1.420513,.3356542,38
20,1991,1.39549,.5352423,40.18536
20,1992,1.357123,.5196009,43
20,1993,1.351357,.5044982,48
20,1994,1.386028,.4919028,48
20,1995,1.359898,.4783465,48
20,1996,1.380238,.4646272,48
20,1997,1.36329,.4513084,48
20,1998,1.404832,.4443865,48
20,1999,1.369711,.4347839,48
20,2000,1.337518,.4206446,48
20,2001,1.345636,.4080845,48
20,2002,1.348024,.4004146,48
20,2003,1.306796,.3936685,48
20,2004,1.323084,.3834569,48
20,2005,1.266449,.3708909,48
20,2006,1.237702,.3593006,148.5
20,2007,1.243219,.3493503,149.3
21,1981,1.317547,.7888889,11
21,1982,1.305444,.7431089,11
21,1983,1.317191,.7199799,11
21,1984,1.317474,.6901829,11
21,1985,1.350421,.7061338,12.31811
21,1986,1.40845,.6932482,18
21,1987,1.408177,.63125,18
21,1988,1.42419,.6061707,18
21,1989,1.400439,.5783064,18
21,1990,1.460587,.5486611,18
21,1991,1.439932,.7396476,18
21,1992,1.484303,.7180328,18
21,1993,1.50957,.6971626,18
21,1994,1.414136,.6797571,18
21,1995,1.503722,.6610237,18
21,1996,1.521899,.642065,18
21,1997,1.523259,.6276636,18
21,1998,1.549502,.6180369,18
21,1999,1.603867,.6046819,18
21,2000,1.557015,.5850174,18
21,2001,1.509447,.5675493,18
21,2002,1.515438,.5568823,18
21,2003,1.508479,.5475,18
21,2004,1.496705,.5332981,18
21,2005,1.514242,.5158218,18
21,2006,1.575024,.4997024,18
21,2007,1.580107,.4858639,18
22,1981,1.536424,.3853685,9
22,1982,1.506823,.3630052,9
22,1983,1.490613,.3517068,12.52877
22,1984,1.460679,.3371511,13
22,1985,1.451006,.3255576,13
22,1986,1.493696,.3196168,13
22,1987,1.489523,.3083627,13
22,1988,1.458399,.2961115,13
22,1989,1.455369,.2825,13
22,1990,1.471249,.2680184,13
22,1991,1.447547,.4703378,13
22,1992,1.441554,.456593,13
22,1993,1.443398,.4433218,13
22,1994,1.477328,.4322537,15.99178
22,1995,1.430617,.4203413,17
22,1996,1.430229,.4082856,17
22,1997,1.42845,.3991277,17
22,1998,1.453368,.3930061,17
22,1999,1.476094,.3845138,17
22,2000,1.455349,.3720093,17
22,2001,1.443209,.3609014,17
22,2002,1.582934,.3541183,17
22,2003,1.429056,.3481521,17
22,2004,1.422859,.3391213,17
22,2005,1.385826,.3280082,17
22,2006,1.423179,.3177579,17
22,2007,1.417839,.3089581,17
23,1981,2.076657,.4612761,12
23,1982,1.983176,.4345078,12
23,1983,1.956411,.4209839,12
23,1984,1.865745,.4035611,16
23,1985,1.766857,.389684,16
23,1986,1.742392,.3914234,16
23,1987,1.724633,.3776408,16
23,1988,1.746288,.3626373,16
23,1989,1.71495,.3459677,16
23,1990,1.735171,.3282326,17.49589
23,1991,1.748599,.5281205,18
23,1992,1.731854,.5126871,18
23,1993,1.632697,.4977855,19.10466
23,1994,1.719939,.4853576,18.15534
23,1995,1.633735,.4719816,18
23,1996,1.637445,.4584449,18
23,1997,1.642616,.4454673,18
23,1998,1.658842,.438635,18
23,1999,1.711788,.4291567,18
23,2000,1.68412,.4152004,18
23,2001,1.657393,.4028028,18
23,2002,1.684081,.3952322,18
23,2003,1.666757,.3885733,26.69041
23,2004,1.658384,.3784939,69.99999
23,2005,1.616866,.3660907,119.5891
23,2006,1.685929,.3546503,170
23,2007,1.702527,.3448289,170
24,1981,1.7098,.4513751,13
24,1982,1.634337,.4459068,14.50411
24,1983,1.629593,.4320281,18
24,1984,1.576188,.4141482,18
24,1985,1.530283,.3999071,18
24,1986,1.528796,.447354,19.67123
24,1987,1.547625,.4316021,23
24,1988,1.521407,.439814,27
24,1989,1.524143,.4195968,27
24,1990,1.521534,.3980873,27
24,1991,1.51405,.5951542,27
24,1992,1.492016,.5777619,27
24,1993,1.491049,.5609689,27
24,1994,1.524655,.5469636,34
24,1995,1.481872,.5318898,34
24,1996,1.492375,.5166348,34
24,1997,1.495512,.5050467,34
24,1998,1.548835,.4973006,34
24,1999,1.583174,.4865546,34
24,2000,1.56366,.4707317,34
24,2001,1.544703,.4566761,34
24,2002,1.566565,.4480929,34
24,2003,1.531329,.4568478,56.43834
24,2004,1.53735,.4529381,64
24,2005,1.514288,.4457757,64
24,2006,1.542494,.4318452,64
24,2007,1.564475,.419886,64
25,1981,2.067656,.4843784,12
25,1982,2.075236,.4873575,12
25,1983,2.359037,.4721888,12
25,1984,2.157707,.5681424,16.38356
25,1985,2.154464,.548606,17
25,1986,2.086796,.538595,17
25,1987,2.081615,.5196303,17
25,1988,2.0497,.4989856,17
25,1989,2.0026,.4760484,17
25,1990,1.680774,.4899006,22.43561
25,1991,1.68816,.68326,25
25,1992,1.652988,.627655,25
25,1993,1.669206,.6094118,25
25,1994,1.598773,.594197,25
25,1995,1.599113,.5778216,25
25,1996,1.598707,.5612493,25
25,1997,1.604214,.5486605,25
25,1998,1.597472,.5402454,37
25,1999,1.920379,.5285715,37
25,2000,1.884533,.5113821,52
25,2001,1.869074,.4961127,52
25,2002,1.860961,.4867883,52
25,2003,1.855826,.478587,52
25,2004,1.846143,.4661726,52
25,2005,1.869245,.4508961,52
25,2006,1.847636,.4368055,80
25,2007,1.857417,.4247089,80
26,1981,1.919188,.4073707,12
26,1982,1.893943,.3940933,12
26,1983,1.882644,.3818273,12
26,1984,1.883314,.4526468,12
26,1985,1.869148,.4370818,12
26,1986,1.820055,.4291059,12
26,1987,1.804583,.4139965,15
26,1988,1.804083,.3975486,15
26,1989,1.812297,.3792742,15
26,1990,1.503882,.3598317,15
26,1991,1.47225,.5584435,15
26,1992,1.408987,.542124,15
26,1993,1.390695,.5263668,15
26,1994,1.336985,.6279352,21
26,1995,1.442278,.65,21
26,1996,1.432718,.6313576,21
26,1997,1.400403,.6171963,21
26,1998,1.387753,.6077301,21
26,1999,1.719936,.5945978,21
26,2000,1.664262,.5752614,21
26,2001,1.67357,.5580845,21
26,2002,1.659664,.5475954,21
26,2003,1.650573,.5383695,21
26,2004,1.56768,.5244045,91
26,2005,1.59349,.5072197,91
26,2006,1.507312,.491369,91
26,2007,1.519965,.4777614,91
27,1981,1.369552,.3682068,15
27,1982,1.374182,.3468394,15
27,1983,1.338636,.3466868,16.49589
27,1984,1.240948,.3323388,21
27,1985,1.23777,.3209108,21
27,1986,1.209796,.3150548,21
27,1987,1.2319,.3039612,21
27,1988,1.225091,.291885,21
27,1989,1.182355,.3228226,23.00548
27,1990,1.039339,.382785,33.49315
27,1991,1.002835,.5804699,39
27,1992,.9643815,.5635068,39
27,1993,.9264814,.547128,40.39726
27,1994,.9141596,.5334683,55.99999
27,1995,.9137698,.5187665,55.99999
27,1996,.9066772,.4720204,55.99999
27,1997,.8835669,.461433,55.99999
27,1998,.8890939,.4543558,55.99999
27,1999,1.028448,.4295318,55.99999
27,2000,.9845049,.4155633,74.38357
27,2001,1.022229,.3989296,111
27,2002,1.011822,.3900498,120.5096
27,2003,.990972,.3807608,150
27,2004,.9849383,.3655903,150
27,2005,.9634761,.3536099,150
27,2006,.9477018,.3425595,150
27,2007,.9835861,.3330729,150
28,1981,1.199916,.9066007,2
28,1982,1.166879,.8539897,2
28,1983,1.201613,.8274097,2
28,1984,1.200352,.7931665,2
28,1985,1.19066,.7658923,2
28,1986,1.2088,.7519161,2
28,1987,1.199234,.7254401,2
28,1988,1.202142,.6966187,2
28,1989,1.209917,.6645968,2
28,1990,1.064595,.630528,2
28,1991,1.030077,.8182086,2
28,1992,1.061995,.7942979,4.745205
28,1993,1.067607,.7712111,5
28,1994,1.069215,.7519568,5
28,1995,1.051465,.7312337,5
28,1996,1.084072,.7102613,5
28,1997,1.093973,.6943053,5
28,1998,1.081932,.6836565,5
28,1999,1.303539,.6676891,5
28,2000,1.27759,.6459756,5
28,2001,1.319196,.6266873,5
28,2002,1.338884,.6149088,5
28,2003,1.295309,.6045489,5
28,2004,1.25087,.5888672,5
28,2005,1.221124,.5695699,5
28,2006,1.229515,.5517708,30
28,2007,1.242552,.5364904,35
29,1981,1.670207,.4953795,12
29,1982,1.651828,.4666321,12
29,1983,1.613729,.4521084,13.49589
29,1984,1.531001,.4333975,18
29,1985,1.456235,.4184945,18
29,1986,1.455106,.4108577,18
29,1987,1.484988,.3963908,18
29,1988,1.521922,.3806424,27
29,1989,1.51962,.3631452,27
29,1990,1.327961,.3445295,30
29,1991,1.296223,.5437592,30
29,1992,1.260538,.5278689,29
29,1993,1.254372,.512526,29
29,1994,1.276942,.4997301,44
29,1995,1.278583,.485958,44
29,1996,1.371056,.4720204,44
29,1997,1.307243,.461433,44
29,1998,1.397961,.4543558,44
29,1999,1.64705,.4445378,44
29,2000,1.589037,.4300813,44
29,2001,1.574962,.4172395,44
29,2002,1.628843,.4093975,44
29,2003,1.64943,.4025,44
29,2004,1.604728,.3920593,44
29,2005,1.585657,.3792115,44
29,2006,1.638754,.3673611,44
29,2007,1.673419,.3571876,44
30,1981,1.477085,.4953795,15
30,1982,1.531614,.4666321,14.37534
30,1983,1.480924,.4521084,14
30,1984,1.537744,.4333975,14
30,1985,1.489605,.4184945,14
30,1986,1.437321,.4108577,14
30,1987,1.466744,.3963908,14
30,1988,1.454607,.3806424,18
30,1989,1.463913,.3631452,18
30,1990,1.441459,.3445295,18
